en,pos,tr,ex_en,ex_tr,note
absolutely,adv,абсолютно,,,
academic,adj,"академический, учебный",,,
access,n,доступ,,,
access,v,получать доступ,,,
accommodation,n,"жильё, проживание",,,
account,n,"счёт, аккаунт",,,
according to,prep,"согласно, по",,,
achievement,n,достижение,,,
ad,n,"реклама, объявление",,,
addition,n,"добавление, дополнение",,,
admire,v,восхищаться,,,
admit,v,"признавать, допускать",,,
advanced,adj,"продвинутый, усовершенствованный",,,
advise,v,советовать,,,
afford,v,позволить себе,,,
aged,adj,"пожилой, в возрасте",,,
agent,n,"агент, представитель",,,
agreement,n,"соглашение, договор",,,
ahead,adv,"впереди, вперёд",,,
aim,n,цель,,,
aim,v,"стремиться, целиться",,,
alarm,n,"будильник, сигнализация",,,
album,n,альбом,,,
alcohol,n,алкоголь,,,
alcoholic,adj,алкогольный,,,
alcoholic,n,алкоголик,,,
alternative,adj,альтернативный,,,
alternative,n,альтернатива,,,
amazed,adj,изумлённый,,,
ambition,n,"амбиция, честолюбие",,,
ambitious,adj,амбициозный,,,
announce,v,"объявлять, сообщать",,,
announcement,n,"объявление, сообщение",,,
annoy,v,раздражать,,,
annoyed,adj,раздражённый,,,
annoying,adj,"раздражающий, назойливый",,,
apart,adv,"отдельно, врозь",,,
apologise,v,извиняться,,,
application,n,"заявление, заявка, приложение",,,
appointment,n,"встреча, приём",,,
appreciate,v,ценить,,,
approximately,adv,приблизительно,,,
arrest,v,арестовывать,,,
arrival,n,прибытие,,,
assignment,n,"задание, поручение",,,
assist,v,"помогать, содействовать",,,
atmosphere,n,атмосфера,,,
attach,v,прикреплять,,,
attitude,n,"отношение, позиция",,,
attract,v,привлекать,,,
attraction,n,"достопримечательность, влечение",,,
authority,n,"власть, орган власти",,,
average,adj,средний,,,
average,n,среднее число,,,
award,n,"премия, награда",,,
award,v,награждать,,,
aware,adj,осведомлённый,,,
backwards,adv,"назад, задом наперёд",,,
bake,v,"печь, выпекать",,,
balance,n,баланс,,,
balance,v,уравновешивать,,,
ban,n,запрет,,,
ban,v,запрещать,,,
bank,n,берег реки,,,
base,n,"база, основа",,,
base,v,"основывать, базировать",,,
basic,adj,"базовый, основной",,,
