en,pos,kind
absolutely,adv,words
academic,adj,words
access,n,words
access,v,words
accommodation,n,words
account,n,words
according to,prep,words
achievement,n,words
ad,n,words
addition,n,words
admire,v,words
admit,v,words
advanced,adj,words
advise,v,words
afford,v,words
aged,adj,words
agent,n,words
agreement,n,words
ahead,adv,words
aim,n,words
aim,v,words
alarm,n,words
album,n,words
alcohol,n,words
alcoholic,adj,words
alcoholic,n,words
alternative,adj,words
alternative,n,words
amazed,adj,words
ambition,n,words
ambitious,adj,words
announce,v,words
announcement,n,words
annoy,v,words
annoyed,adj,words
annoying,adj,words
apart,adv,words
apologise,v,words
application,n,words
appointment,n,words
appreciate,v,words
approximately,adv,words
arrest,v,words
arrival,n,words
assignment,n,words
assist,v,words
atmosphere,n,words
attach,v,words
attitude,n,words
attract,v,words
attraction,n,words
authority,n,words
average,adj,words
average,n,words
award,n,words
award,v,words
aware,adj,words
backwards,adv,words
bake,v,words
balance,n,words
balance,v,words
ban,n,words
ban,v,words
bank,n,words
base,n,words
base,v,words
basic,adj,words
battery,n,words
battle,n,words
beauty,n,words
bee,n,words
behaviour,n,words
belief,n,words
bell,n,words
bend,v,words
benefit,v,words
bite,v,words
block,n,words
block,v,words
board,v,words
bomb,n,words
bomb,v,words
booking,n,words
border,n,words
bother,v,words
branch,n,words
brand,n,words
brave,adj,words
breath,n,words
breathe,v,words
breathing,n,words
bride,n,words
bubble,n,words
burst,v,words
bury,v,words
calm,adj,words
campaign,n,words
campus,n,words
candidate,n,words
cap,n,words
captain,n,words
career,n,words
careless,adj,words
category,n,words
ceiling,n,words
celebration,n,words
central,adj,words
century,n,words
ceremony,n,words
chain,n,words
challenge,n,words
challenge,v,words
champion,n,words
channel,n,words
chapter,n,words
charge,n,words
charge,v,words
cheat,v,words
cheerful,adj,words
chemical,n,words
chemical,adj,words
chest,n,words
childhood,n,words
claim,v,words
claim,n,words
click,n,words
click,v,words
client,n,words
close,adj,words
cloth,n,words
clue,n,words
coach,n,words
coal,n,words
collection,n,words
coloured,adj,words
combine,v,words
comment,v,words
commercial,adj,words
commercial,n,words
commit,v,words
communication,n,words
comparison,n,words
competitor,n,words
competitive,adj,words
complaint,n,words
complex,adj,words
concentrate,v,words
conclude,v,words
confident,adj,words
confirm,v,words
confuse,v,words
confused,adj,words
connection,n,words
contact,v,words
contact,n,words
container,n,words
content,n,words
continuous,adj,words
contrast,n,words
contrast,v,words
convenient,adj,words
convince,v,words
copper,n,words
costume,n,words
cottage,n,words
cotton,n,words
countryside,n,words
court,n,words
cover,n,words
cover,v,words
covered,adj,words
create,v,words
credit,n,words
cruel,adj,words
cultural,adj,words
culture,n,words
currency,n,words
current,adj,words
currently,adv,words
curtain,n,words
custom,n,words
damage,n,words
damage,v,words
deal,v,words
decade,n,words
decorate,v,words
deer,n,words
definite,adj,words
deliver,v,words
departure,n,words
desktop,n,words
despite,prep,words
destination,n,words
determined,adj,words
development,n,words
diagram,n,words
diamond,n,words
difficulty,n,words
direct,v,words
direct,adj,words
directly,adv,words
dirt,n,words
disadvantage,n,words
disappointed,adj,words
disappointing,adj,words
discount,n,words
discuss,v,words
dislike,v,words
divide,v,words
documentary,n,words
donate,v,words
doubt,n,words
doubt,v,words
dressed,adj,words
drunk,adj,words
due,adj,words
dust,n,words
duty,n,words
earthquake,n,words
eastern,adj,words
economic,adj,words
economy,n,words
edge,n,words
editor,n,words
educate,v,words
educated,adj,words
educational,adj,words
effect,n,words
effective,adj,words
effectively,adv,words
effort,n,words
election,n,words
embarrassed,adj,words
embarrassing,adj,words
emergency,n,words
emotion,n,words
employment,n,words
encourage,v,words
enemy,n,words
engaged,adj,words
engineering,n,words
entertain,v,words
entertainment,n,words
entrance,n,words
entry,n,words
environment,n,words
environmental,adj,words
episode,n,words
equal,adj,words
equally,adv,words
escape,v,words
essential,adj,words
event,n,words
eventually,adv,words
examine,v,words
exchange,n,words
exchange,v,words
excitement,n,words
exhibition,n,words
expand,v,words
expected,adj,words
expedition,n,words
experienced,adj,words
explode,v,words
explore,v,words
explosion,n,words
export,n,words
export,v,words
face,v,words
fact,n,words
fairly,adv,words
familiar,adj,words
fancy,v,words
fascinating,adj,words
fashionable,adj,words
fasten,v,words
favour,n,words
fear,n,words
fear,v,words
feature,n,words
feature,v,words
feed,v,words
fence,n,words
fighting,n,words
figure,n,words
file,n,words
file,v,words
financial,adj,words
fine,n,words
fitness,n,words
fixed,adj,words
flash,n,words
flood,n,words
flood,v,words
flour,n,words
flow,n,words
flow,v,words
fog,n,words
fold,v,words
folk,n,words
following,adj,words
following,prep,words
force,n,words
force,v,words
forever,adv,words
frame,n,words
freeze,v,words
frequently,adv,words
friendship,n,words
frighten,v,words
frightened,adj,words
frightening,adj,words
frozen,adj,words
fry,v,words
fuel,n,words
function,n,words
function,v,words
fur,n,words
garage,n,words
gather,v,words
generally,adv,words
generation,n,words
generous,adj,words
gentle,adj,words
gentleman,n,words
ghost,n,words
giant,n,words
giant,adj,words
gig,n,words
glad,adj,words
global,adj,words
glove,n,words
goods,n,words
grade,n,words
graduate,v,words
grain,n,words
grateful,adj,words
growth,n,words
guard,n,words
guard,v,words
guilty,adj,words
hang,v,words
happiness,n,words
hardly,adv,words
headline,n,words
heating,n,words
heavily,adv,words
helicopter,n,words
highlight,v,words
highly,adv,words
hire,v,words
hint,n,words
hint,v,words
historic,adj,words
historical,adj,words
honest,adj,words
honey,n,words
horrible,adj,words
horror,n,words
host,n,words
host,v,words
however,adv,words
hunt,v,words
